Model,Config,Best avg R²,Best R² (DRI),Best R² (FRI),Min Loss
GAT,GAT_hd256_lr0.0001,-0.0,-0.008,0.009,0.032
GAT,GAT_hd128_lr0.0001,-0.003,-0.009,0.005,0.032
GAT,GAT_hd512_lr0.0001,-0.003,-0.011,0.008,0.032
GAT,GAT_hd128_lr0.0005,-0.007,-0.015,0.004,0.032
GAT,GAT_hd512_lr0.0005,-0.007,-0.017,0.003,0.032
GAT,GAT_hd128_lr0.001,-0.008,-0.017,0.004,0.032
GAT,GAT_hd256_lr0.0005,-0.009,-0.016,0.002,0.032
GAT,GAT_hd256_lr0.001,-0.009,-0.019,0.004,0.032
GAT,GAT_hd512_lr0.001,-0.01,-0.022,0.003,0.032
GCN,GCN_hd256_lr0.0005,0.008,-0.005,0.026,0.03
GCN,GCN_hd128_lr0.0005,0.006,-0.001,0.017,0.031
GCN,GCN_hd512_lr0.0005,0.001,-0.012,0.019,0.03
GCN,GCN_hd256_lr0.001,-0.0,-0.008,0.011,0.031
GCN,GCN_hd128_lr0.001,-0.001,-0.007,0.008,0.031
GCN,GCN_hd256_lr0.0001,-0.005,-0.023,0.012,0.031
GCN,GCN_hd512_lr0.001,-0.005,-0.016,0.007,0.031
GCN,GCN_hd512_lr0.0001,-0.007,-0.025,0.013,0.031
GCN,GCN_hd128_lr0.0001,-0.009,-0.019,0.003,0.032
GIN,GIN_hd256_lr0.0005,0.413,0.415,0.422,0.012
GIN,GIN_hd512_lr0.0001,0.4,0.41,0.396,0.011
GIN,GIN_hd512_lr0.0005,0.4,0.412,0.391,0.012
GIN,GIN_hd128_lr0.0005,0.348,0.368,0.35,0.015
GIN,GIN_hd128_lr0.001,0.324,0.308,0.339,0.016
GIN,GIN_hd256_lr0.0001,0.307,0.324,0.297,0.015
GIN,GIN_hd256_lr0.001,0.297,0.371,0.222,0.014
GIN,GIN_hd512_lr0.001,0.227,0.329,0.134,0.015
GIN,GIN_hd128_lr0.0001,0.162,0.186,0.144,0.022
